order,word,phonetic,example,note,definition_en
1,fishing,,,,
2,to fish,,,,
3,walk,,,,
4,yoga,,,,
5,ball game,,,,
6,card game,,,,
7,table tennis,,,,
8,barbecue,,,,
9,camp,,,,
10,camping,,,,
11,campsite,,,,
12,club,,,,
13,party,,,,
14,picnic,,,,
15,tent,,,,
16,shower,,,,
17,bath,,,,
18,laundry,,,,
19,bored,,,,
20,surprising,,,,
21,enjoyable,,,,
22,delightful,,,,
23,pleased,,,,
24,cooking,,,,
25,fun,,,,
26,cleaning,,,,
27,to begin,,,,
28,to end,,,,
29,to relax,,,,
30,to smoke,,,,
31,dance,,,,
32,water park,,,,
33,to celebrate,,,,
34,toy,,,,
