order,word,phonetic,example,note,definition_en
1,relation,,,,
2,relationship,,,,
3,friendship,,,,
4,motherhood,,,,
5,fatherhood,,,,
6,relative,,,,
7,marriage,,,,
8,unmarried,,,,
9,engaged,,,,
10,separated,,,,
11,bride,,,,
12,groom,,,,
13,spouse,,,,
14,single parent,,,,
15,only child,,,,
16,family tree,,,,
17,mother-in-law,,,,
18,father-in-law,,,,
19,sister-in-law,,,,
20,brother-in-law,,,,
21,daughter-in-law,,,,
22,son-in-law,,,,
23,parents-in-law,,,,
24,generation,,,,
25,to abandon,,,,
26,to bring up,,,,
27,to cheat,,,,
28,to leave,,,,
29,to separate,,,,
30,close,,,,
31,related,,,,
32,love at first sight,,,,
