order,word,phonetic,example,note,definition_en
1,barber,,,,
2,butcher,,,,
3,builder,,,,
4,firefighter,,,,
5,mailman,,,,
6,gardener,,,,
7,guard,,,,
8,tailor,,,,
9,sailor,,,,
10,photographer,,,,
11,babysitter,,,,
12,bodyguard,,,,
13,astronaut,,,,
14,agent,,,,
15,reporter,,,,
16,servant,,,,
17,housewife,,,,
18,freelancer,,,,
19,judge,,,,
20,president,,,,
21,adviser,,,,
22,director,,,,
23,translator,,,,
24,sportsman,,,,
25,editor,,,,
26,tutor,,,,
27,trader,,,,
28,technician,,,,
29,programmer,,,,
30,flight attendant,,,,
31,veterinarian,,,,
32,secretary,,,,
33,chemist,,,,
